No.,Time,Source,Destination,Protocol,Length,Info,,,,,Fake
99,0.065643,,,CAN,40,STD: 0x0000019b   00 55 00 00 36,,,,,fake
100,0.065894,,,CAN,40,STD: 0x000001ab   7f ff 00 00 00 00 00 3d,,,,,
101,0.065894,,,CAN,40,STD: 0x000001aa   7f ff 00 00 00 00 00 3c,,,,,
102,0.066113,,,CAN,40,STD: 0x000001b0   00 0f 00 00 00 01 75,,,,,
103,0.066365,,,CAN,40,STD: 0x000001d0   00 00 00 00 00 00 00 0a,,,,,
104,0.066513,,,CAN,40,STD: 0x00000039   00 00 1b,,,,,
105,0.066682,,,CAN,40,STD: 0x000001dc   02 02 cb 21,,,,,
106,0.066935,,,CAN,40,STD: 0x000001ea   00 00 00 00 00 00 00 3c,,,,,
107,0.067084,,,CAN,40,STD: 0x000001ed   01 ff 2b,,,,,
108,0.067324,,,CAN,40,STD: 0x00000255   00 00 00 00 55 55 67 ef,,,,,
109,0.068783,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 08,,,,,
110,0.069864,,,CAN,40,STD: 0x0000018e   08 20 16,,,,,
111,0.074246,,,CAN,40,STD: 0x00000091   80 27 08 06 05 00 00 0a,,,,,
112,0.07449,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 10,,,,,
113,0.07474,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 19,,,,,
114,0.074987,,,CAN,40,STD: 0x0000017c   00 00 02 cb 00 00 00 1a,,,,,
115,0.075222,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 1e,,,,,
116,0.075407,,,CAN,40,STD: 0x0000019b   00 55 00 00 09,,,,,
117,0.075927,,,CAN,40,STD: 0x000001a6   00 00 00 58 48 80 00 33,,,,,
118,0.076078,,,CAN,40,STD: 0x00000221   00 00 8b,,,,,
119,0.076333,,,CAN,40,STD: 0x00000294   00 00 00 01 6e 1d 00 06,,,,,
120,0.076503,,,CAN,40,STD: 0x00000295   00 00 00 08,,,,,
121,0.078782,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 17,,,,,
122,0.079073,,,CAN,40,STD: 0x0000018e   08 1f 27,,,,,
123,0.08425,,,CAN,40,STD: 0x000001a4   00 66 00 00 00 00 00 0d,,,,,
124,0.084482,,,CAN,40,STD: 0x00000091   80 27 08 0a 05 00 00 15,,,,,
125,0.084725,,,CAN,40,STD: 0x0000013c   00 19 00 18 00 00 04 2f,,,,,
126,0.084973,,,CAN,40,STD: 0x00000158   00 00 00 00 00 00 00 28,,,,,
127,0.085221,,,CAN,40,STD: 0x0000017c   00 00 02 cf 00 00 00 25,,,,,
128,0.085457,,,CAN,40,STD: 0x00000191   01 00 00 a9 a9 01 7f 2d,,,,,
129,0.08564,,,CAN,40,STD: 0x0000019b   00 55 00 00 18,,,,,
130,0.085893,,,CAN,40,STD: 0x000001aa   7f ff 00 00 00 00 00 0f,,,,,
131,0.086116,,,CAN,40,STD: 0x000001b0   00 0f 00 00 00 01 48,,,,,
132,0.086365,,,CAN,40,STD: 0x000001d0   00 00 00 00 00 00 00 0a,,,,,
133,0.086524,,,CAN,40,STD: 0x000001dc   02 02 cf 3c,,,,,fake
134,0.086781,,,CAN,40,STD: 0x000001ea   00 00 00 00 00 00 00 0f,,,,,
135,0.086929,,,CAN,40,STD: 0x000001ed   01 ff 3a,,,,,
136,0.088781,,,CAN,40,STD: 0x00000156   ff f0 00 00 07 26,,,,,
137,0.089866,,,CAN,40,STD: 0x0000018e   08 1f 36,,,,,
